document_no,period,vendor_id,vendor_name,item_id,item_name,qty,amount_gbp,days_open,status,dataset
PO-7001,2026-01,V-2001,Alloy Supplies Ltd,I-RM-01,Raw material steel,111,5431.71,42,Open,SYNTHETIC_PUBLIC_SAFE
PO-7002,2026-01,V-2001,Alloy Supplies Ltd,I-RM-01,Raw material steel,22,1992.07,22,Open,SYNTHETIC_PUBLIC_SAFE
PO-7003,2026-01,V-2002,Precision Fasteners,I-FG-01,Finished assembly A,83,2026.99,18,Open,SYNTHETIC_PUBLIC_SAFE
PO-7004,2026-01,V-2003,Greenfield Plastics,I-FG-02,Finished assembly B,70,3452.49,31,Open,SYNTHETIC_PUBLIC_SAFE
PO-7005,2026-02,V-2001,Alloy Supplies Ltd,I-FG-01,Finished assembly A,46,4200.9,33,Open,SYNTHETIC_PUBLIC_SAFE
PO-7006,2026-02,V-2002,Precision Fasteners,I-FG-02,Finished assembly B,108,6559.7,1,Invoiced,SYNTHETIC_PUBLIC_SAFE
PO-7007,2026-02,V-2002,Precision Fasteners,I-RM-01,Raw material steel,102,8644.44,44,Open,SYNTHETIC_PUBLIC_SAFE
PO-7008,2026-02,V-2003,Greenfield Plastics,I-RM-01,Raw material steel,41,1913.77,14,Open,SYNTHETIC_PUBLIC_SAFE
PO-7009,2026-02,V-2003,Greenfield Plastics,I-RM-01,Raw material steel,101,3709.54,12,Open,SYNTHETIC_PUBLIC_SAFE
PO-7010,2026-03,V-2001,Alloy Supplies Ltd,I-RM-02,Raw material polymer,36,884.44,22,Open,SYNTHETIC_PUBLIC_SAFE
PO-7011,2026-03,V-2001,Alloy Supplies Ltd,I-RM-02,Raw material polymer,104,6630.12,33,Open,SYNTHETIC_PUBLIC_SAFE
PO-7012,2026-03,V-2002,Precision Fasteners,I-FG-02,Finished assembly B,88,2762.12,32,Open,SYNTHETIC_PUBLIC_SAFE
PO-7013,2026-03,V-2002,Precision Fasteners,I-FG-01,Finished assembly A,76,5946.09,38,Open,SYNTHETIC_PUBLIC_SAFE
PO-7014,2026-03,V-2003,Greenfield Plastics,I-FG-02,Finished assembly B,42,1285.91,39,Open,SYNTHETIC_PUBLIC_SAFE
PO-7015,2026-04,V-2001,Alloy Supplies Ltd,I-RM-02,Raw material polymer,106,8630.88,16,Open,SYNTHETIC_PUBLIC_SAFE
PO-7016,2026-04,V-2002,Precision Fasteners,I-FG-02,Finished assembly B,88,7826.53,36,Open,SYNTHETIC_PUBLIC_SAFE
PO-7017,2026-04,V-2002,Precision Fasteners,I-RM-02,Raw material polymer,109,4853.62,17,Open,SYNTHETIC_PUBLIC_SAFE
PO-7018,2026-04,V-2003,Greenfield Plastics,I-FG-02,Finished assembly B,74,6448.83,17,Open,SYNTHETIC_PUBLIC_SAFE
PO-7019,2026-05,V-2001,Alloy Supplies Ltd,I-RM-01,Raw material steel,96,3663.93,18,Open,SYNTHETIC_PUBLIC_SAFE
PO-7020,2026-05,V-2001,Alloy Supplies Ltd,I-FG-01,Finished assembly A,78,2644.31,17,Open,SYNTHETIC_PUBLIC_SAFE
PO-7021,2026-05,V-2001,Alloy Supplies Ltd,I-RM-02,Raw material polymer,20,794.86,21,Open,SYNTHETIC_PUBLIC_SAFE
PO-7022,2026-05,V-2002,Precision Fasteners,I-RM-01,Raw material steel,51,1151.76,19,Open,SYNTHETIC_PUBLIC_SAFE
PO-7023,2026-05,V-2002,Precision Fasteners,I-FG-02,Finished assembly B,65,2191.92,21,Open,SYNTHETIC_PUBLIC_SAFE
PO-7024,2026-05,V-2002,Precision Fasteners,I-RM-02,Raw material polymer,30,1667.95,32,Open,SYNTHETIC_PUBLIC_SAFE
PO-7025,2026-05,V-2003,Greenfield Plastics,I-FG-02,Finished assembly B,51,2950.61,0,Open,SYNTHETIC_PUBLIC_SAFE
PO-7026,2026-05,V-2003,Greenfield Plastics,I-RM-01,Raw material steel,31,954.49,37,Open,SYNTHETIC_PUBLIC_SAFE
PO-7027,2026-05,V-2003,Greenfield Plastics,I-FG-01,Finished assembly A,70,1518.09,19,Open,SYNTHETIC_PUBLIC_SAFE
PO-7028,2026-06,V-2001,Alloy Supplies Ltd,I-FG-02,Finished assembly B,106,6012.43,45,Open,SYNTHETIC_PUBLIC_SAFE
PO-7029,2026-06,V-2001,Alloy Supplies Ltd,I-RM-01,Raw material steel,79,4340.44,7,Invoiced,SYNTHETIC_PUBLIC_SAFE
PO-7030,2026-06,V-2001,Alloy Supplies Ltd,I-FG-02,Finished assembly B,59,5508.21,30,Open,SYNTHETIC_PUBLIC_SAFE
PO-7031,2026-06,V-2002,Precision Fasteners,I-RM-01,Raw material steel,78,2007.32,32,Open,SYNTHETIC_PUBLIC_SAFE
PO-7032,2026-06,V-2003,Greenfield Plastics,I-RM-01,Raw material steel,69,2465.91,13,Open,SYNTHETIC_PUBLIC_SAFE
PO-7033,2026-06,V-2003,Greenfield Plastics,I-FG-01,Finished assembly A,94,2516.64,33,Open,SYNTHETIC_PUBLIC_SAFE
