event_id,day_index,hour,site_token,metric_raw,layer,pii_status,dataset
B-00001,0,0,SITE-001,49.07,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00002,0,2,SITE-001,51.88,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00003,0,4,SITE-001,67.78,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00004,0,6,SITE-001,72.19,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00005,0,8,SITE-001,52.8,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00006,0,10,SITE-001,88.13,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00007,0,12,SITE-001,67.37,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00008,0,14,SITE-001,48.51,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00009,0,16,SITE-001,64.92,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00010,0,18,SITE-001,58.28,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00011,0,20,SITE-001,82.91,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00012,0,22,SITE-001,81.51,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00013,0,0,SITE-002,46.74,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00014,0,2,SITE-002,90.77,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00015,0,4,SITE-002,64.82,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00016,0,6,SITE-002,41.48,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00017,0,8,SITE-002,67.28,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00018,0,10,SITE-002,52.21,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00019,0,12,SITE-002,49.94,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00020,0,14,SITE-002,59.06,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00021,0,16,SITE-002,43.61,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00022,0,18,SITE-002,77.58,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00023,0,20,SITE-002,62.39,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00024,0,22,SITE-002,88.57,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00025,0,0,SITE-003,88.19,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00026,0,2,SITE-003,82.57,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00027,0,4,SITE-003,54.19,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00028,0,6,SITE-003,43.82,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00029,0,8,SITE-003,81.02,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00030,0,10,SITE-003,68.91,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00031,0,12,SITE-003,86.1,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00032,0,14,SITE-003,63.43,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00033,0,16,SITE-003,69.39,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00034,0,18,SITE-003,77.69,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00035,0,20,SITE-003,75.41,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00036,0,22,SITE-003,62.31,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00037,0,0,SITE-004,45.22,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00038,0,2,SITE-004,47.75,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00039,0,4,SITE-004,69.63,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00040,0,6,SITE-004,49.13,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00041,0,8,SITE-004,70.25,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00042,0,10,SITE-004,82.58,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00043,0,12,SITE-004,43.49,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00044,0,14,SITE-004,53.91,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00045,0,16,SITE-004,61.39,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00046,0,18,SITE-004,67.67,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00047,0,20,SITE-004,73.06,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00048,0,22,SITE-004,57.06,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00049,0,0,SITE-005,43.5,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00050,0,2,SITE-005,57.5,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00051,0,4,SITE-005,44.03,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00052,0,6,SITE-005,82.18,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00053,0,8,SITE-005,68.46,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00054,0,10,SITE-005,42.69,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00055,0,12,SITE-005,84.95,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00056,0,14,SITE-005,61.2,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00057,0,16,SITE-005,44.7,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00058,0,18,SITE-005,88.98,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00059,0,20,SITE-005,76.74,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00060,0,22,SITE-005,53.49,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
B-00061,0,0,SITE-006,85.37,bronze,tokenised,SYNTHETIC_PUBLIC_SAFE
