event_id,day_index,hour,site_token,anomaly_score,is_anomaly,layer,dataset
G-00001,0,0,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00002,0,2,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00003,0,4,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00004,0,6,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00005,0,8,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00006,0,10,SITE-001,0.427,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00007,0,12,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00008,0,14,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00009,0,16,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00010,0,18,SITE-001,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00011,0,20,SITE-001,0.345,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00012,0,22,SITE-001,0.216,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00013,0,0,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00014,0,2,SITE-002,0.597,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00015,0,4,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00016,0,6,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00017,0,8,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00018,0,10,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00019,0,12,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00020,0,14,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00021,0,16,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00022,0,18,SITE-002,0.084,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00023,0,20,SITE-002,0,0,gold,SYNTHETIC_PUBLIC_SAFE
G-00024,0,22,SITE-002,0.465,0,gold,SYNTHETIC_PUBLIC_SAFE
