event_id,day_index,hour,site_token,metric_clean,dq_flag,layer,dataset
S-00001,0,0,SITE-001,48.71,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00002,0,2,SITE-001,51.68,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00003,0,4,SITE-001,66.43,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00004,0,6,SITE-001,71.89,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00005,0,8,SITE-001,52.8,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00006,0,10,SITE-001,86.43,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00007,0,12,SITE-001,67.31,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00008,0,14,SITE-001,47.66,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00009,0,16,SITE-001,64.07,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00010,0,18,SITE-001,58.12,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00011,0,20,SITE-001,82.86,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00012,0,22,SITE-001,80.83,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00013,0,0,SITE-002,46.58,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00014,0,2,SITE-002,89.7,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00015,0,4,SITE-002,64.81,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00016,0,6,SITE-002,41.25,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00017,0,8,SITE-002,66.68,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00018,0,10,SITE-002,51.75,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00019,0,12,SITE-002,49.29,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00020,0,14,SITE-002,58.24,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00021,0,16,SITE-002,43.42,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00022,0,18,SITE-002,77.42,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00023,0,20,SITE-002,62.34,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00024,0,22,SITE-002,87.46,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00025,0,0,SITE-003,86.55,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00026,0,2,SITE-003,82.3,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00027,0,4,SITE-003,53.56,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00028,0,6,SITE-003,43.73,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00029,0,8,SITE-003,79.81,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00030,0,10,SITE-003,67.57,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00031,0,12,SITE-003,85.9,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00032,0,14,SITE-003,63.24,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00033,0,16,SITE-003,69.07,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00034,0,18,SITE-003,76.17,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00035,0,20,SITE-003,74.78,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00036,0,22,SITE-003,62.19,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00037,0,0,SITE-004,44.34,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00038,0,2,SITE-004,47.42,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00039,0,4,SITE-004,68.93,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00040,0,6,SITE-004,48.52,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00041,0,8,SITE-004,69.84,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00042,0,10,SITE-004,80.94,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00043,0,12,SITE-004,42.77,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00044,0,14,SITE-004,53.17,ok,silver,SYNTHETIC_PUBLIC_SAFE
S-00045,0,16,SITE-004,61.27,ok,silver,SYNTHETIC_PUBLIC_SAFE
